district,market,commodity,variety,price,day,month,year
Hassan,Arasikere,Tomato,Tomato,2000.0,8.0,Mar,2017.0
Hassan,Arasikere,Tomato,Tomato,1000.0,2.0,Aug,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,30.0,Jul,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,26.0,Jul,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,23.0,Jul,2016.0
Hassan,Arasikere,Tomato,Tomato,1500.0,2.0,Jul,2016.0
Hassan,Arasikere,Tomato,Tomato,2000.0,27.0,Jun,2016.0
Hassan,Arasikere,Tomato,Tomato,4000.0,22.0,Jun,2016.0
Hassan,Arasikere,Tomato,Tomato,3000.0,13.0,Jun,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,30.0,Apr,2016.0
Hassan,Arasikere,Tomato,Tomato,4000.0,27.0,Feb,2016.0
Hassan,Arasikere,Tomato,Tomato,2000.0,24.0,Feb,2016.0
Hassan,Arasikere,Tomato,Tomato,5000.0,6.0,Feb,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,23.0,Jan,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,19.0,Jan,2016.0
Hassan,Arasikere,Tomato,Tomato,5000.0,8.0,Jan,2016.0
Hassan,Arasikere,Tomato,Tomato,2000.0,2.0,Jan,2016.0
Hassan,Arasikere,Tomato,Tomato,1000.0,29.0,Dec,2015.0
Hassan,Arasikere,Tomato,Tomato,2000.0,22.0,Dec,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,21.0,Dec,2015.0
Hassan,Arasikere,Tomato,Tomato,2000.0,3.0,Dec,2015.0
Hassan,Arasikere,Tomato,Tomato,2000.0,1.0,Dec,2015.0
Hassan,Arasikere,Tomato,Tomato,3000.0,17.0,Nov,2015.0
Hassan,Arasikere,Tomato,Tomato,1500.0,15.0,Jul,2015.0
Hassan,Arasikere,Tomato,Tomato,1200.0,6.0,Jul,2015.0
Hassan,Arasikere,Tomato,Tomato,1600.0,28.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,1800.0,27.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,1400.0,26.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,1500.0,23.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,2000.0,20.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,1500.0,14.0,May,2015.0
Hassan,Arasikere,Tomato,Tomato,1750.0,29.0,Apr,2015.0
Hassan,Arasikere,Tomato,Tomato,1250.0,27.0,Apr,2015.0
Hassan,Arasikere,Tomato,Tomato,1600.0,25.0,Apr,2015.0
Hassan,Arasikere,Tomato,Tomato,2300.0,6.0,Apr,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,6.0,Feb,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,31.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,300.0,30.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,27.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,3000.0,23.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,22.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,19.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,600.0,16.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,12.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,9.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,8.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,6.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,5.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1000.0,3.0,Jan,2015.0
Hassan,Arasikere,Tomato,Tomato,1500.0,1.0,Jan,2015.0
Chikmagalur,Bagepalli,Tomato,Tomato,950.0,1.0,Feb,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,920.0,30.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,900.0,28.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,835.0,27.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,815.0,25.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,815.0,23.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,790.0,21.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,742.0,20.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,865.0,19.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,715.0,18.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,795.0,16.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,765.0,13.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,810.0,12.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,780.0,11.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,815.0,7.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,785.0,6.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,620.0,5.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,750.0,4.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,680.0,2.0,Jan,2021.0
Chikmagalur,Bagepalli,Tomato,Tomato,710.0,31.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,815.0,30.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,925.0,29.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,925.0,28.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1120.0,26.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1010.0,24.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,880.0,23.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,715.0,22.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,850.0,21.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,810.0,19.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,680.0,17.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,750.0,16.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,754.0,15.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,970.0,14.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1050.0,12.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,890.0,10.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,910.0,9.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,975.0,8.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1015.0,7.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,986.0,5.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1060.0,2.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1102.0,1.0,Dec,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1320.0,30.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1640.0,28.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1670.0,26.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1710.0,25.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1745.0,24.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1750.0,23.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1800.0,21.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1920.0,19.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1945.0,18.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,1940.0,17.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2005.0,12.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2040.0,11.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2150.0,10.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2100.0,9.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2150.0,7.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2040.0,5.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2010.0,4.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2080.0,3.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2054.0,2.0,Nov,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2845.0,3.0,Oct,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3120.0,1.0,Oct,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,2846.0,30.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3005.0,29.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3125.0,26.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3164.0,24.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3005.0,23.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3240.0,22.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3154.0,21.0,Sep,2020.0
Chikmagalur,Bagepalli,Tomato,Tomato,3241.0,19.0,Sep,2020.0
